1369387596.594661 1 145 624 46
1369387597.598650 1 109 313 100
1369387598.602657 1 86 260 100
1369387599.606654 2 131 399 100
1369387600.610659 1 82 314 100
1369387601.614652 2 105 269 100
1369387602.618694 1 113 461 100
1369387603.622652 2 139 362 100
1369387604.626649 1 61 181 100
1369387605.630652 1 89 281 100
1369387606.634644 1 116 434 100
1369387607.638666 1 100 309 100
1369387608.642638 1 82 344 100
1369387609.646663 2 168 630 100
1369387610.650652 1 73 236 100
1369387611.654668 1 65 221 100
1369387612.658668 1 93 256 100
1369387613.662654 1 65 232 100
1369387614.666658 1 86 376 100
1369387615.670661 1 103 383 100
1369387616.674673 2 201 627 100
1369387617.678659 1 112 339 100
1369387618.682669 1 63 156 100
1369387619.686644 1 132 358 100
1369387620.690672 1 83 276 100
1369387621.694677 1 118 423 100
1369387622.698665 1 69 179 100
1369387623.702674 2 91 316 100
1369387624.706654 1 66 185 100
1369387625.710644 1 64 266 100
1369387626.714672 1 53 195 100
1369387627.718666 2 68 234 100
1369387628.722657 2 109 439 100
1369387629.726665 1 95 251 100
1369387630.730667 1 76 258 100
1369387631.734654 1 97 274 100
1369387632.738670 2 146 463 100
1369387633.742700 2 70 297 100
1369387634.746652 1 96 334 100
1369387635.750660 2 66 260 100
1369387636.754666 2 80 194 100
1369387637.758656 2 144 504 100
1369387638.762658 1 87 331 100
1369387639.766665 1 130 388 100
1369387640.770661 1 91 339 100
1369387641.774663 1 114 345 100
1369387642.778710 2 99 288 100
1369387643.782648 1 90 275 100
1369387644.786657 1 75 308 100
1369387645.790663 2 148 390 100
1369387646.794647 1 97 444 100
1369387647.798680 1 166 429 100
1369387648.802677 1 131 473 100
1369387649.806657 1 98 339 100
1369387650.810656 1 84 311 100
1369387651.814678 2 85 276 100
1369387652.818663 1 111 311 100
1369387653.822660 2 155 463 100
1369387654.826662 2 154 490 100
1369387655.830660 1 218 610 100
1369387656.834669 1 59 169 100
1369387657.838677 1 93 303 100
1369387658.842664 2 86 287 100
1369387659.846679 1 121 397 100
1369387660.850664 2 63 182 100
1369387661.854645 1 61 199 100
1369387662.858670 1 50 160 100
1369387663.862669 1 59 163 100
1369387664.866647 1 125 430 100
1369387665.870667 1 137 442 100
1369387666.874664 1 164 397 100
1369387667.878642 1 135 394 100
1369387668.882655 1 122 398 100
1369387669.886705 2 240 662 100
1369387670.890663 6 756 1688 94
1369387671.894667 1 839 2538 79
1369387672.898686 1 600 2580 55
1369387673.902679 1 450 3476 51
1369387674.906648 1 64 1055 51
1369387675.910681 1 436 1114 100
1369387676.914658 5 835 1695 90
1369387677.918686 1 962 2856 66
1369387678.922645 1 669 2869 57
1369387679.926633 1 57 385 40
1369387680.930643 1 501 1179 100
1369387681.934649 6 754 2039 91
1369387682.938638 1 881 2658 72
1369387683.942644 1 667 2920 45
1369387684.946644 1 264 1723 51
1369387685.950662 1 46 243 42
1369387686.954691 1 417 1104 100
1369387687.958661 6 740 2090 94
1369387688.962626 33 996 2481 86
1369387689.966646 1 972 3952 42
1369387690.970615 1 1752 4579 64
1369387691.974657 1 717 5020 41
1369387692.978635 1 8 84 14
1369387693.982662 3 261 891 100
1369387694.986636 29 885 1875 100
1369387695.990641 1 969 2669 73
1369387696.994708 2 931 3086 54
1369387697.998659 1 351 2384 39
1369387699.002646 1 13 107 23
1369387700.006662 1 205 609 100
1369387701.010651 2 860 1680 100
1369387702.014671 3 818 2587 66
1369387703.018646 1 841 3261 58
1369387704.022674 1 293 2376 43
1369387705.026654 1 45 342 43
1369387706.030684 1 304 941 95
1369387707.034689 45 691 1752 100
1369387708.038656 2 990 2413 79
1369387709.042659 1 998 3205 61
1369387710.046683 1 216 2127 35
1369387711.050682 1 88 541 38
1369387712.054683 2 499 1354 92
1369387713.058679 1 829 2365 84
1369387714.062657 2 903 2909 60
1369387715.066648 1 915 3203 59
1369387716.070632 1 186 2072 37
1369387717.074688 1 59 314 62
1369387718.078692 30 506 1288 100
1369387719.082668 122 1076 1801 100
1369387720.086668 2 1610 3052 80
1369387721.090657 1 844 3421 53
1369387722.094685 1 74 2140 25
1369387723.098647 1 63 422 57
1369387724.102678 2 777 1497 100
1369387725.106665 2 869 2356 77
1369387726.110658 2 897 2961 61
1369387727.114682 1 221 2098 37
1369387728.118643 1 102 555 58
1369387729.122674 2 397 1009 100
1369387730.126636 11 823 2104 96
1369387731.130662 2 867 2767 50
1369387732.134656 3 1270 4019 50
1369387733.138645 3 1081 4554 30
1369387734.142678 2 1409 6436 32
1369387735.146653 2 1680 6520 29
1369387736.150639 8 1902 8002 24
1369387737.154684 3 860 7900 13
1369387738.158656 2 1312 8943 18
1369387739.162658 2 3 8 0
1369387740.166653 1 4 37 5
1369387741.170652 20 237 741 65
1369387742.174694 42 569 1298 78
1369387743.178662 9 799 2108 64
1369387744.182654 6 1985 3329 73
1369387745.186646 2 969 4318 32
1369387746.190666 19 1884 5342 53
1369387747.194683 8 2433 7002 39
1369387748.198688 7 3048 7448 42
1369387749.202666 1 1912 8548 24
1369387750.206656 2 970 9298 14
1369387751.210655 1 3 6 0
1369387752.214650 1 33 391 13
1369387753.218666 3 362 1192 75
1369387754.222656 462 1177 1675 100
1369387755.226675 7 1078 2204 62
1369387756.230664 2 1203 3246 41
1369387757.234679 2 1117 4707 31
1369387758.238667 3 2114 5800 42
1369387759.242695 3 1669 6942 31
1369387760.246654 1 1656 7714 25
1369387761.250659 1 1201 8265 15
1369387762.254657 2 922 8915 14
1369387763.258683 1 5 83 5
1369387764.262658 1 44 244 28
1369387765.266655 3 432 1090 100
1369387766.270655 12 814 2447 62
1369387767.274681 3 616 2730 31
1369387768.278656 2 1811 3917 64
1369387769.282663 4 1188 4563 29
1369387770.286647 4 2037 5821 46
1369387771.290662 1 1847 7069 30
1369387772.294642 2 1872 8079 19
1369387773.298662 2 2050 9121 28
1369387774.302660 2 1276 10122 17
1369387775.306656 2 47 3009 2
1369387776.310685 1 13 184 11
1369387777.314661 3 52 305 32
1369387778.318674 295 912 1620 100
1369387779.322680 10 686 2564 29
1369387780.326664 2 1136 3145 56
1369387781.330694 3 1408 4760 35
1369387782.334679 2 1027 4790 24
1369387783.338667 1 1362 6560 22
1369387784.342657 13 1296 7293 22
1369387785.346685 1 2154 8363 33
1369387786.350663 2 110 4717 3
1369387787.354672 2 46 474 28
1369387788.358672 13 590 1493 100
1369387789.362670 50 1100 2166 62
1369387790.366646 2 848 3292 33
1369387791.370648 3 1288 4178 40
1369387792.374646 3 2093 4731 54
1369387793.378643 358 1638 3220 50
1369387803.418649 106 11331 16053 41
1369387804.422648 6 5866 16660 30
1369387808.438647 3738 9833 15698 0
1369387809.442664 71 5778 21281 17
1369387810.446656 202 8589 22753 5
1369387811.450662 3 6589 24436 14
1369387812.454649 4 3066 25328 11
1369387813.458653 2 2987 24905 12
1369387814.462731 23 3607 26745 12
1369387815.466635 3 4946 28204 17
