% Generated using: ./prepareCsv.py -d exp_2013-07-25T21:49:56+0200 -o exp_2_03_05.csv
1,0.28,0.2,0.7749
2,0.702,0.4286,0.8009
3,1.806,0.6,0.6299
4,3.084,0.3333,0.3581
5,3.028,0.4231,0.1904
6,4.378,0.5455,0.0876
7,4.74,0.3729,0.0392
8,0.165,0.0625,0.0176
9,0.009,0.0,0.0079
10,0.008,0.0,0.0035
11,0.033,0.0,0.0016
12,0.009,0.0,0.0021
13,0.009,0.0,0.007
14,0.009,0.0,0.0227
15,0.22,0.0714,0.0284
16,0.008,0.0,0.0356
17,0.008,0.0,0.0445
18,0.137,0.0465,0.0556
19,0.026,0.0,0.0696
20,0.11,0.0233,0.1013
21,0.23,0.1212,0.1253
22,0.158,0.0526,0.1549
23,0.285,0.1875,0.1845
24,0.242,0.1667,0.2196
25,0.239,0.2812,0.2616
26,0.159,0.1333,0.3115
27,0.638,0.2667,0.3559
28,0.915,0.3333,0.3583
29,0.991,0.4103,0.3586
30,0.167,0.1154,0.3588
31,0.786,0.5769,0.3591
32,0.44,0.3714,0.3594
33,0.373,0.2353,0.3597
34,0.614,0.3659,0.3666
35,0.979,0.2727,0.371
36,1.141,0.2632,0.3392
37,0.431,0.3514,0.3102
38,0.282,0.2609,0.2836
39,0.182,0.25,0.2593
40,0.202,0.2759,0.2371
41,0.173,0.2812,0.2592
42,0.252,0.3214,0.2833
43,0.299,0.28,0.3304
44,0.37,0.1562,0.3853
45,0.722,0.4571,0.3958
46,0.197,0.4815,0.4066
47,0.609,0.4,0.4177
48,0.418,0.3636,0.4291
49,0.321,0.3871,0.4408
50,0.423,0.375,0.4608
51,0.498,0.4444,0.4817
52,0.984,0.4848,0.4965
53,0.519,0.5484,0.4971
54,0.475,0.5714,0.4978
55,0.206,0.2917,0.4984
56,1.034,0.4737,0.4991
57,0.519,0.32,0.4884
58,0.97,0.4737,0.4779
59,1.961,0.3929,0.3405
60,2.615,0.2727,0.2094
61,3.074,0.3542,0.1105
62,2.475,0.303,0.0583
63,0.188,0.0345,0.0308
64,0.059,0.0333,0.0163
65,0.06,0.027,0.0086
66,0.034,0.0,0.0049
67,0.049,0.0,0.0065
68,0.024,0.0,0.0139
69,0.13,0.0357,0.0205
70,0.219,0.0333,0.0257
71,0.144,0.0345,0.0322
72,0.174,0.069,0.0404
73,0.109,0.0294,0.0506
74,0.147,0.0741,0.0635
75,0.123,0.0476,0.0848
76,0.204,0.0811,0.1084
77,0.176,0.1212,0.1384
78,0.279,0.2778,0.1638
79,0.408,0.2917,0.1806
80,0.201,0.25,0.1992
81,0.171,0.1667,0.2196
82,0.318,0.2941,0.2422
83,0.254,0.3125,0.2671
84,0.267,0.2368,0.308
85,0.55,0.2571,0.3412
86,1.078,0.4138,0.3431
87,1.56,0.5,0.3264
88,1.538,0.5,0.2446
89,0.222,0.2258,0.1832
90,0.148,0.1111,0.1373
91,0.264,0.1053,0.1029
92,0.226,0.1892,0.0771
93,0.042,0.0,0.0657
94,0.13,0.0303,0.0787
95,0.156,0.0571,0.0943
96,0.177,0.0968,0.1129
97,0.214,0.1111,0.1404
98,0.229,0.2258,0.1771
99,0.236,0.2105,0.2194
100,0.723,0.3846,0.232
101,0.073,0.1154,0.2383
102,0.166,0.2812,0.2448
103,0.472,0.2,0.2515
104,0.447,0.1667,0.2583
105,0.207,0.25,0.2654
106,0.314,0.1892,0.2864
107,0.21,0.2424,0.3091
108,0.185,0.3529,0.3335
109,0.381,0.3256,0.372
110,0.201,0.2414,0.4148
111,0.439,0.4839,0.4626
112,0.912,0.5,0.4986
113,0.472,0.5926,0.5042
114,0.544,0.4828,0.5098
115,1.105,0.5588,0.4766
116,0.49,0.5455,0.4455
117,0.68,0.4286,0.4164
118,0.998,0.3214,0.3892
119,1.868,0.3889,0.3084
121,1.574,0.3488,0.1406
122,0.194,0.1333,0.0949
123,0.131,0.0435,0.0641
124,0.143,0.0556,0.0433
125,0.019,0.0,0.0383
126,0.205,0.0588,0.0488
127,0.053,0.027,0.0623
128,0.047,0.027,0.0795
129,0.037,0.0,0.1014
130,0.169,0.2222,0.1294
131,0.151,0.0769,0.1748
132,0.123,0.04,0.2362
133,0.286,0.2,0.2781
134,0.201,0.3235,0.3273
135,0.176,0.2174,0.3854
136,0.158,0.1905,0.4062
137,0.67,0.3611,0.3966
138,1.04,0.5294,0.3871
139,0.467,0.2778,0.3779
140,0.285,0.4545,0.3689
141,0.223,0.2727,0.3602
142,0.184,0.3243,0.3672
143,0.775,0.3778,0.3748
144,0.607,0.3438,0.3825
145,0.219,0.2692,0.3904
146,0.311,0.3333,0.3985
147,0.459,0.5161,0.4067
148,0.69,0.4688,0.4196
149,0.457,0.3235,0.4329
150,0.191,0.5217,0.4467
151,0.618,0.3333,0.4609
152,1.07,0.5152,0.4407
153,0.646,0.4324,0.4214
154,0.611,0.1935,0.4029
155,1.47,0.4571,0.3132
156,0.646,0.68,0.2434
157,0.428,0.3256,0.1892
158,0.11,0.0606,0.1471
159,0.201,0.2188,0.1143
160,0.182,0.1212,0.1251
161,0.166,0.0333,0.1463
162,0.244,0.1389,0.1784
163,0.204,0.2439,0.2175
164,0.166,0.0769,0.2651
165,0.162,0.2353,0.3232
166,0.205,0.2069,0.394
167,0.367,0.3158,0.4419
168,0.279,0.3421,0.4825
169,0.435,0.3793,0.5268
170,0.579,0.5152,0.557
171,0.551,0.4815,0.5704
172,1.25,0.4583,0.4912
173,1.936,0.4,0.298
174,2.356,0.4889,0.1781
175,1.588,0.425,0.1064
176,0.279,0.1471,0.0636
177,0.214,0.0588,0.038
178,0.009,0.0286,0.0227
179,0.16,0.0588,0.024
180,0.008,0.0,0.0303
181,0.082,0.0345,0.0402
182,0.179,0.0333,0.0534
183,0.067,0.0455,0.0709
184,0.023,0.0,0.0941
185,0.18,0.0938,0.1247
186,0.217,0.0667,0.1567
187,0.201,0.1923,0.1968
188,0.233,0.1538,0.2427
189,0.182,0.2593,0.2992
190,0.234,0.3667,0.3689
191,0.297,0.2821,0.4308
192,0.226,0.2727,0.4672
193,0.455,0.6154,0.5067
194,0.378,0.2955,0.5495
