[1369918394.220663] latency=4:86:118:161:1030:(208)ms throughput=67rps rr=17.91% errors=0 total=67
[1369918395.224662] latency=5:98:1172:1549:2029:(927)ms throughput=25rps rr=68.00% errors=0 total=92
[1369918396.228647] latency=4:720:2181:2582:2966:(1735)ms throughput=39rps rr=82.05% errors=0 total=131
[1369918397.232669] latency=4:107:474:1242:3281:(795)ms throughput=34rps rr=76.47% errors=0 total=165
[1369918398.236677] latency=4:5:6:113:226:(57)ms throughput=28rps rr=39.29% errors=0 total=193
[1369918399.240645] latency=5:5:6:8:164:(28)ms throughput=16rps rr=25.00% errors=0 total=209
[1369918400.244656] latency=5:5:6:8:150:(25)ms throughput=24rps rr=20.83% errors=0 total=233
[1369918401.248654] latency=4:5:6:9:214:(39)ms throughput=24rps rr=20.83% errors=0 total=257
[1369918402.252676] latency=4:5:7:48:250:(40)ms throughput=39rps rr=33.33% errors=0 total=296
[1369918403.256692] latency=4:5:6:8:200:(27)ms throughput=25rps rr=16.00% errors=0 total=321
[1369918404.260636] latency=5:5:5:6:110:(11)ms throughput=21rps rr=4.76% errors=0 total=342
[1369918405.264665] latency=5:5:5:8:153:(22)ms throughput=21rps rr=14.29% errors=0 total=363
[1369918406.268640] latency=4:5:6:42:175:(38)ms throughput=30rps rr=26.67% errors=0 total=393
[1369918407.272689] latency=4:5:6:38:188:(39)ms throughput=27rps rr=25.93% errors=0 total=420
[1369918408.276640] latency=4:5:5:6:193:(27)ms throughput=25rps rr=16.00% errors=0 total=445
[1369918409.280700] latency=5:5:6:65:203:(38)ms throughput=28rps rr=28.57% errors=0 total=473
[1369918410.284634] latency=5:5:5:22:134:(26)ms throughput=23rps rr=26.09% errors=0 total=496
[1369918411.288689] latency=5:5:5:46:206:(42)ms throughput=25rps rr=32.00% errors=0 total=521
[1369918412.292641] latency=4:6:40:226:352:(103)ms throughput=27rps rr=48.15% errors=0 total=548
[1369918413.296700] latency=3:6:8:159:261:(75)ms throughput=26rps rr=46.15% errors=0 total=574
[1369918414.300644] latency=5:5:6:80:189:(40)ms throughput=21rps rr=42.86% errors=0 total=595
[1369918415.304700] latency=4:5:6:76:237:(49)ms throughput=24rps rr=33.33% errors=0 total=619
